#Date/Time of Update: 2019-11-08 10:49:06 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#UnearnedRuns,#RunsBattedIn,#EarnedRuns,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSacrificeBunts,#PitcherSliders,#PitcherCurveballs,#PitcherSplitters,#PitcherCutters,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderForceOuts,#FielderTagOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,122,HOU,Houston,Astros,162,5602,897,1582,365,28,238,78,855,819,482,10782,10286,4172,2013,4101,2048,1063,1127,1080,1080,507,1364,9265,1377,3167,5234,1061,5199,2853,102,11,0.903,0.282,0.343,0.485,0.828,0,70,11,61,2717,631,23,0,13,1292,2372,1176,766,1.54,23825,6292,5469,4.13,1436.1,1314,304,27,700,659,192,505,11256,11474,4344,2991,4139,1871,821,956,9345,235,2932,5298,16,5902,2902,313,1455,20,1583,0.240,1.27,3,70,0,1117,574,87,4,112,5,475,5,6119,24227,1.95,0.312,0.411,0.723,9.92,3.16,8.23,3.13,16.87,1436.1,5416,1248,12,4090,1254,72,7,0,112,6,0.949,16,87,0.987,0.699,4309,101,61,0.623,0.0,897,701,196
,118,KC,Kansas City,Royals,162,5532,702,1435,270,28,193,45,661,658,370,11611,10470,4725,2462,3283,1839,1006,1204,895,1164,424,1170,8834,1534,3157,4713,1118,4912,2549,93,5,0.949,0.259,0.309,0.423,0.732,0,45,17,37,2340,491,10,0,5,1221,2385,1075,766,1.40,22938,6043,5568,4.67,1428.2,1478,291,43,791,742,196,495,11288,10872,4400,2457,4015,1955,1071,1048,7638,2767,4494,5854,21,5633,1007,0,404,45,1210,0.265,1.38,8,52,0,1133,811,48,6,95,11,684,11,6230,24034,1.40,0.329,0.439,0.767,7.62,3.12,9.31,2.44,16.82,1428.2,5390,1241,12,4077,1246,67,8,0,95,11,0.896,11,48,0.988,0.697,4286,80,82,0.494,0.0,703,791,-88
,124,LAA,Los Angeles,Angels,162,5404,711,1316,276,16,186,63,678,646,493,10714,10467,4113,2319,4035,2015,973,984,1035,1194,410,1163,9619,1932,3093,4658,992,4829,2184,139,10,0.933,0.244,0.313,0.404,0.716,0,70,17,45,2182,478,10,0,12,1349,2543,1240,711,1.74,23433,6088,5455,4.23,1423.0,1374,277,22,713,669,224,445,10864,10632,4119,2542,3971,1765,1043,1060,9521,317,2128,5417,24,4749,3267,1423,1164,30,1307,0.252,1.28,8,44,0,1062,776,57,5,82,9,710,9,6053,23463,1.37,0.312,0.434,0.746,8.27,2.81,8.69,2.94,16.49,1423.0,5286,1158,14,4063,1158,65,7,0,82,9,0.901,10,57,0.988,0.711,4269,80,82,0.494,0.0,711,713,-2
,137,LAD,Los Angeles,Dodgers,162,5377,770,1346,329,26,221,37,732,729,608,10713,10876,4208,2408,4260,1782,1017,1015,1110,1369,270,1642,13063,1583,3061,3627,897,5104,2565,85,9,0.904,0.250,0.332,0.444,0.776,0,64,30,36,2390,576,16,0,14,1162,2539,1083,732,1.48,24435,6206,5351,3.39,1431.1,1221,239,25,580,539,183,411,11368,11436,4523,2953,3960,1692,863,979,10680,950,3172,3019,38,4543,3389,177,2705,22,1540,0.228,1.14,4,40,0,1036,622,40,10,75,8,625,8,5939,23344,1.67,0.287,0.385,0.672,9.68,2.58,7.68,3.75,16.31,1431.1,5288,1122,12,4090,1122,76,9,0,75,8,0.904,20,40,0.986,0.719,4294,104,58,0.642,0.0,770,580,190
,128,MIA,Miami,Marlins,162,5569,779,1503,284,43,195,62,743,717,439,11218,10996,4470,2337,4189,2207,833,1046,1100,1267,441,1110,11468,1312,3073,4479,1068,4801,2732,93,6,0.939,0.270,0.328,0.441,0.770,0,67,48,41,2458,522,12,0,12,1420,2687,1315,601,2.19,23963,6256,5494,4.82,1431.0,1460,310,40,822,766,195,568,11360,10895,4564,2382,3949,1890,1040,1112,12475,1586,4398,3295,58,5261,1269,0,1515,43,1193,0.266,1.42,4,75,0,1121,790,57,3,70,6,613,6,6334,24680,1.42,0.340,0.443,0.784,7.50,3.57,9.18,2.10,17.25,1431.0,5307,1225,13,4022,1225,60,12,0,70,6,0.921,12,57,0.989,0.699,4293,77,85,0.475,0.0,779,822,-43
,134,MIL,Milwaukee,Brewers,162,5448,732,1364,283,26,226,56,694,676,513,11400,11516,4522,2914,4080,1830,867,985,980,1561,258,1592,11841,1651,3196,3986,1080,4955,2832,135,10,0.931,0.250,0.320,0.436,0.756,0,53,41,26,2377,535,10,0,12,1204,2765,1089,609,1.79,24319,6149,5463,4.04,1431.0,1386,297,34,698,642,186,508,11310,11150,4597,2512,4041,1954,849,1051,12273,1717,2160,4993,38,3556,2018,1030,1881,29,1335,0.254,1.32,3,64,0,1169,627,50,2,109,19,693,19,6179,24271,1.86,0.323,0.423,0.746,8.40,3.19,8.72,2.63,16.96,1431.0,5409,1286,15,4029,1286,94,3,0,109,19,0.852,11,50,0.983,0.701,4293,86,76,0.531,0.0,732,698,34
,120,MIN,Minnesota,Twins,162,5551,815,1437,311,32,206,61,780,753,567,11179,11307,4439,2460,4408,1828,1010,1080,1140,1339,536,1486,12179,1490,3459,3822,1052,5004,2703,104,4,0.963,0.259,0.330,0.438,0.768,0,46,25,39,2430,549,10,0,12,1135,2474,1090,740,1.47,24958,6276,5571,4.62,1426.2,1478,287,31,788,733,224,446,11100,10502,4432,2182,3888,1938,1093,1118,9217,2218,3432,6107,23,4364,2997,0,484,40,1160,0.265,1.35,1,69,0,1142,814,53,7,77,5,682,5,6217,23558,1.40,0.325,0.449,0.774,7.32,2.81,9.32,2.60,16.51,1426.2,5349,1222,6,4064,1222,63,5,0,77,5,0.939,16,53,0.988,0.705,4280,85,77,0.525,0.0,815,788,27
,127,NYM,New York,Mets,162,5487,735,1375,297,29,224,55,713,680,498,11172,11040,4488,2392,4160,1754,1067,1074,1041,1278,402,1384,10398,1722,3095,5021,1108,4790,2918,61,6,0.910,0.251,0.317,0.438,0.755,0,57,35,37,2402,550,18,0,14,1147,2425,1042,781,1.33,24071,6179,5608,5.03,1423.2,1533,296,27,863,795,220,542,11687,11538,4728,2603,4207,1959,1013,1071,11186,2100,3327,5022,47,6315,3134,251,177,53,1370,0.273,1.46,3,55,0,1109,736,55,5,103,6,581,5,6392,24973,1.51,0.340,0.453,0.794,8.66,3.43,9.69,2.53,17.54,1423.2,5301,1177,16,4041,1178,82,2,0,103,6,0.945,7,55,0.985,0.681,4271,70,92,0.432,0.0,735,863,-128
,114,NYY,New York,Yankees,162,5587,858,1460,276,32,240,90,821,767,595,11475,11402,4467,2725,4210,1873,1005,1054,1050,1380,473,1386,11212,1277,3382,4743,1045,5172,2291,98,7,0.933,0.261,0.336,0.451,0.787,0,64,18,54,2520,548,22,0,15,1151,2531,1060,708,1.50,25391,6365,5461,3.75,1439.1,1244,253,17,661,600,192,487,11271,11359,4315,2999,4045,1843,858,959,11221,1254,3134,1795,18,7234,1826,1304,729,30,1548,0.228,1.20,2,53,0,1117,638,83,4,75,6,499,5,6089,24029,1.75,0.296,0.386,0.682,9.68,3.05,7.78,3.18,16.69,1439.1,5438,1210,5,4150,1210,78,8,0,75,6,0.926,21,83,0.986,0.721,4318,91,71,0.562,0.0,858,661,197
,125,OAK,Oakland,Athletics,162,5459,739,1341,315,19,234,30,709,708,551,11347,11330,4563,2758,4009,1555,1053,1078,1081,1485,562,1408,10565,1857,3269,4638,1023,5368,2638,59,9,0.868,0.246,0.318,0.439,0.757,0,43,11,39,2396,568,10,0,9,1006,2491,914,760,1.20,24605,6137,5528,4.73,1414.2,1442,319,35,826,744,210,485,11038,10667,4270,2370,4027,2004,978,1104,10904,2048,3695,5028,16,5590,2616,85,788,44,1193,0.261,1.36,4,61,0,1168,690,84,3,117,8,825,8,6181,24178,1.69,0.325,0.445,0.770,7.59,3.09,9.17,2.46,17.09,1414.2,5367,1273,10,3994,1273,100,6,0,117,8,0.936,16,84,0.981,0.706,4244,75,87,0.463,0.0,739,826,-87
,129,PHI,Philadelphia,Phillies,162,5516,690,1382,305,38,176,53,654,637,469,11442,11297,4606,2661,4030,1944,877,1045,962,1410,260,1348,11841,1700,3388,3912,1109,4678,2599,66,10,0.868,0.251,0.313,0.415,0.728,0,47,21,36,2291,519,20,0,14,1273,2683,1153,643,1.79,24202,6147,5534,4.55,1426.1,1473,317,34,782,721,221,490,11293,11006,4519,2439,4048,1880,994,1083,11121,644,3224,5340,37,4594,3949,850,397,46,1299,0.266,1.38,5,63,0,1114,711,51,10,100,6,784,6,6251,24039,1.57,0.330,0.456,0.786,8.20,3.09,9.29,2.65,16.85,1426.1,5332,1209,8,4055,1209,68,8,0,100,6,0.943,16,51,0.987,0.694,4279,66,96,0.407,0.0,690,782,-92
,132,PIT,Pittsburgh,Pirates,162,5432,668,1333,268,46,151,64,635,603,480,11171,10986,4583,2273,4130,2044,907,1074,983,1204,468,1567,11420,1797,3038,4413,1118,4742,2352,75,13,0.852,0.245,0.315,0.395,0.710,0,88,42,27,2146,465,13,0,9,1405,2609,1296,686,1.89,24137,6153,5523,4.30,1424.0,1466,332,36,732,681,182,479,11257,10752,4572,2309,3871,2000,911,1125,11892,2378,3466,4653,52,4191,2414,0,459,29,1250,0.265,1.37,4,58,0,1202,647,58,2,98,5,535,5,6221,23772,1.86,0.329,0.437,0.766,7.90,3.03,9.27,2.61,16.69,1424.0,5409,1313,13,4016,1315,78,7,0,98,5,0.951,15,58,0.986,0.692,4272,75,87,0.463,0.0,668,732,-64
,139,SD,San Diego,Padres,162,5336,604,1249,243,34,189,34,576,568,440,10803,10694,4208,2653,3833,1717,852,950,1006,1489,320,1402,9266,1792,2447,5213,1030,4364,3099,97,11,0.898,0.234,0.297,0.399,0.696,0,53,52,31,2127,466,12,0,11,1122,2611,1038,638,1.63,22711,5966,5453,4.72,1419.2,1414,291,26,816,744,226,526,10879,10752,4271,2393,4088,2020,939,968,10737,913,2405,6599,31,6831,1293,189,529,34,1321,0.259,1.37,6,75,0,1161,659,73,11,82,14,659,13,6179,23806,1.76,0.331,0.447,0.778,8.37,3.33,8.96,2.51,16.77,1419.2,5397,1294,12,4016,1295,86,8,0,82,14,0.854,8,73,0.984,0.701,4259,71,91,0.438,0.0,604,816,-212
,136,SF,San Francisco,Giants,162,5519,639,1382,300,33,128,69,612,570,430,11134,10433,4347,2357,3729,2112,935,1036,1069,1200,335,1589,11859,1195,2653,3002,1142,4513,2693,74,11,0.871,0.250,0.306,0.386,0.692,0,36,30,51,2132,461,16,0,15,1365,2567,1287,727,1.77,23347,6151,5627,4.57,1433.0,1526,317,63,776,728,184,454,11231,10753,4483,2242,4028,1939,989,1201,8750,913,3037,5296,50,4107,2351,392,3416,39,1220,0.271,1.38,6,50,0,1148,731,55,3,80,10,577,10,6304,23818,1.57,0.329,0.448,0.777,7.66,2.85,9.58,2.69,16.62,1433.0,5379,1226,9,4088,1226,65,4,0,80,10,0.889,6,55,0.988,0.689,4299,64,98,0.395,0.0,639,776,-137
,123,SEA,Seattle,Mariners,162,5547,750,1437,293,19,200,44,714,706,456,10969,10754,4273,2362,4119,1950,988,1075,1063,1263,522,1272,11192,1439,3118,4135,1047,5010,2499,102,10,0.911,0.259,0.322,0.427,0.749,0,78,13,33,2368,512,23,0,6,1216,2479,1121,749,1.50,23955,6179,5490,4.51,1429.1,1400,282,16,772,716,238,462,11191,10722,4455,2393,3874,1785,1085,1075,9141,4206,2664,3103,24,5884,1981,703,1131,58,1238,0.255,1.30,8,53,0,1050,786,73,6,81,5,807,4,6145,23617,1.34,0.316,0.442,0.758,7.80,2.91,8.82,2.68,16.52,1429.1,5295,1139,12,4076,1139,80,9,0,81,5,0.942,15,73,0.985,0.716,4288,78,84,0.481,0.0,750,772,-22
,133,STL,St. Louis,Cardinals,162,5450,761,1396,297,36,196,57,727,701,557,11157,11110,4501,2443,4166,1835,985,1079,1079,1338,443,1611,11624,2002,3037,4012,1033,5212,2830,91,14,0.867,0.256,0.330,0.432,0.762,0,65,47,42,2353,529,18,0,10,1258,2596,1072,728,1.47,24543,6238,5493,4.03,1439.0,1386,270,33,705,645,184,443,11137,11011,4456,2439,4116,1999,897,1056,10989,2452,3567,3993,39,4210,2181,273,2647,45,1345,0.252,1.27,2,67,0,1181,664,38,0,59,9,573,9,6167,23692,1.78,0.313,0.414,0.727,8.41,2.77,8.67,3.04,16.46,1439.0,5432,1286,10,4072,1286,74,3,0,59,9,0.868,7,38,0.986,0.703,4317,83,79,0.512,0.0,761,705,56
,115,TB,Tampa Bay,Rays,162,5469,694,1343,232,36,230,44,671,649,512,11715,11188,4628,3082,3478,1763,957,945,1044,1529,463,1192,10016,1888,2910,4711,910,4941,2073,96,7,0.932,0.246,0.314,0.427,0.741,0,55,14,47,2337,498,15,0,5,1120,2650,1003,680,1.48,23967,6167,5474,4.01,1433.1,1324,284,26,705,639,193,466,11249,11061,4369,2685,4007,1831,963,1028,12695,430,3557,1188,27,5350,1637,1132,1852,36,1345,0.242,1.25,2,48,0,1115,726,83,4,85,7,437,7,6114,24098,1.54,0.305,0.409,0.714,8.45,2.93,8.31,2.89,16.81,1433.1,5358,1170,13,4111,1170,77,7,0,85,7,0.924,14,83,0.986,0.717,4300,80,82,0.494,0.0,694,705,-11
,121,TEX,Texas,Rangers,162,5420,799,1326,264,25,236,52,757,747,526,11284,11305,4428,2853,4024,1764,971,928,1010,1485,670,1049,9636,2070,3374,5089,1072,5447,2605,120,9,0.930,0.245,0.319,0.433,0.752,0,81,26,38,2348,525,19,0,14,1116,2601,1057,664,1.59,24377,6139,5521,4.74,1421.1,1445,302,16,816,749,213,537,11036,10460,4364,2201,3895,2011,981,1117,9129,979,3613,6625,11,4051,3354,97,2176,38,1103,0.262,1.39,3,74,0,1189,706,63,7,92,11,574,11,6220,23990,1.68,0.333,0.438,0.771,6.98,3.40,9.15,2.05,16.88,1421.1,5401,1299,10,4010,1302,89,6,0,92,11,0.893,8,63,0.984,0.710,4264,78,84,0.481,0.0,799,816,-17
,112,TOR,Toronto,Blue Jays,162,5486,695,1329,280,10,223,50,663,643,530,11010,11038,4377,2400,4261,1877,1002,992,1007,1321,785,1119,10355,1544,3080,4206,1112,5188,2634,61,7,0.897,0.242,0.313,0.419,0.732,0,51,26,35,2298,513,14,0,10,1294,2615,1134,720,1.58,24363,6168,5659,4.47,1453.2,1461,325,30,784,722,203,523,11448,11108,4482,2619,4007,2003,956,1028,10233,1276,3792,5937,13,4299,2028,0,2456,38,1366,0.258,1.36,3,48,0,1196,673,53,4,124,3,328,3,6321,24503,1.78,0.324,0.434,0.758,8.46,3.24,9.05,2.61,16.86,1453.2,5520,1296,12,4153,1296,71,5,0,124,3,0.976,8,53,0.987,0.696,4361,76,86,0.469,0.0,695,784,-89
