#Date/Time of Update: 2019-11-08 10:32:37 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#EarnedRuns,#UnearnedRuns,#RunsBattedIn,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#PitcherSplitters,#PitcherCutters,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSacrificeBunts,#PitcherSliders,#PitcherCurveballs,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderTagOuts,#FielderForceOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,122,HOU,Houston,Astros,162,5448,797,1381,293,29,205,732,65,762,547,10517,10443,4091,2111,4241,1847,1064,1032,1008,4351,2122,1040,1193,343,1738,8274,1812,2694,3420,78,7,0.918,0.253,0.326,0.431,0.757,0,61,11,46,2347,527,18,0,6,1206,2399,1040,779,1.34,23714,6164,5352,3.15,1444.0,1167,270,24,534,506,153,432,11124,11578,4400,2999,4179,1673,861,914,293,1355,9176,235,1557,4134,12,4492,2260,34,1678,0.218,1.11,2,65,0,1055,647,67,4,65,4,351,3,5922,23621,1.63,0.283,0.363,0.646,10.46,2.69,7.27,3.88,16.36,1444.0,5372,10,1149,4174,1150,48,6,0,65,4,0.942,15,67,0.991,0.716,4332,103,59,0.636,0.0,797,534,263
,118,KC,Kansas City,Royals,162,5480,638,1343,290,32,155,581,55,606,415,11291,10742,4396,2651,3695,1786,1040,1080,1134,4443,2263,1036,1304,197,1331,8380,1619,2719,3308,123,8,0.939,0.245,0.304,0.395,0.699,0,67,24,39,2162,477,16,0,10,1215,2519,1095,804,1.36,23326,6062,5579,5.00,1415.2,1537,287,40,832,787,205,518,11186,10627,4454,2220,3953,1974,1058,1141,0,37,9496,1147,2472,4487,21,5600,2109,57,1149,0.275,1.45,4,51,0,1152,776,68,4,71,7,601,7,6277,24079,1.48,0.339,0.452,0.791,7.30,3.29,9.77,2.22,17.01,1415.2,5349,14,1252,4040,1252,57,7,0,71,7,0.910,10,68,0.989,0.690,4247,58,104,0.358,0.0,638,832,-194
,124,LAA,Los Angeles,Angels,162,5456,721,1317,272,24,213,675,46,690,476,10771,10752,4190,2364,4198,1778,1029,1056,1064,4392,1874,1069,1288,204,1690,8676,1987,2686,3429,94,5,0.949,0.241,0.309,0.417,0.726,0,73,6,39,2276,509,17,0,14,1204,2518,1090,753,1.45,23830,6114,5434,4.19,1425.2,1351,261,29,721,663,204,530,10929,10943,4185,2637,4121,1774,948,1054,985,200,8200,2218,2715,3553,14,4993,2961,33,1378,0.249,1.32,3,65,0,1022,691,88,2,50,6,456,6,6116,24129,1.48,0.321,0.420,0.741,8.70,3.35,8.53,2.60,16.92,1425.2,5309,7,1192,4055,1196,58,2,0,50,6,0.893,17,88,0.989,0.706,4277,80,82,0.494,0.0,721,721,0
,137,LAD,Los Angeles,Dodgers,163,5515,801,1386,315,36,233,751,50,753,598,11185,11722,4401,2577,4744,1733,1068,1042,1044,4259,2489,1129,1422,397,1531,9843,2036,2752,2614,78,4,0.951,0.251,0.329,0.448,0.777,0,60,37,38,2472,584,24,0,6,1098,2520,1016,760,1.34,25664,6351,5504,3.42,1460.0,1269,255,29,607,554,179,381,11553,11559,4674,2843,4042,1851,884,961,0,1493,8669,1214,2343,2464,24,4354,2194,23,1552,0.231,1.13,4,61,0,1144,647,37,10,75,3,517,3,6096,23604,1.77,0.287,0.385,0.672,9.57,2.35,7.82,4.07,16.17,1460.0,5510,10,1217,4207,1217,86,6,0,75,3,0.962,11,37,0.984,0.715,4380,92,71,0.564,0.0,801,607,194
,128,MIA,Miami,Marlins,161,5449,587,1299,239,26,129,524,63,552,430,10968,11023,4326,2484,4213,2009,814,1017,1079,4425,2417,1090,1372,463,1046,9078,1833,2254,2831,48,5,0.906,0.238,0.301,0.363,0.664,0,72,30,31,1977,394,16,0,7,1332,2704,1185,606,1.96,23557,6080,5441,4.84,1421.0,1386,324,34,809,764,192,533,11441,11099,4710,2427,3962,1777,1081,1061,0,477,12001,1112,3824,2326,38,4830,1559,48,1240,0.255,1.35,6,71,0,1079,807,47,4,66,5,637,5,6252,24653,1.34,0.327,0.433,0.759,7.85,3.38,8.78,2.33,17.35,1421.0,5291,11,1171,4058,1171,62,4,0,66,5,0.930,10,47,0.988,0.708,4263,63,98,0.391,0.0,587,809,-222
,134,MIL,Milwaukee,Brewers,163,5499,752,1394,262,34,217,691,60,712,505,11310,11332,4476,2688,4168,1933,914,1000,1036,4451,2488,1065,1437,204,1221,8758,2326,2487,3640,132,8,0.943,0.254,0.321,0.432,0.753,0,58,29,40,2375,513,15,0,12,1252,2689,1128,651,1.73,24242,6213,5386,3.81,1441.2,1248,253,41,658,611,173,520,11253,11290,4501,2689,4100,1786,869,1034,788,1569,10561,314,1783,4474,39,4016,1949,41,1419,0.232,1.23,7,60,1,1086,653,49,5,79,5,658,5,6114,24333,1.66,0.304,0.390,0.695,8.86,3.25,7.79,2.73,16.88,1441.2,5389,7,1188,4117,1188,84,4,0,79,5,0.940,11,49,0.984,0.723,4325,96,67,0.589,0.0,752,658,94
,120,MIN,Minnesota,Twins,162,5508,738,1372,331,25,166,682,55,704,513,11083,11250,4491,2341,4418,1742,1084,1053,1169,4294,2203,1078,1322,324,1072,9702,1733,2564,3323,51,15,0.773,0.249,0.315,0.409,0.724,0,37,19,38,2251,522,9,0,14,1112,2444,1083,818,1.32,24571,6154,5542,4.54,1430.0,1418,298,32,773,722,197,542,11649,11300,4690,2705,3905,1809,1023,1072,715,479,9837,575,2510,5206,24,3833,3091,49,1367,0.256,1.37,3,80,0,1080,762,59,0,90,6,673,6,6292,24963,1.42,0.328,0.428,0.756,8.60,3.41,8.92,2.52,17.46,1430.0,5337,11,1174,4088,1176,73,3,0,90,7,0.928,12,59,0.986,0.699,4290,78,84,0.481,0.0,738,773,-35
,127,NYM,New York,Mets,162,5428,676,1279,274,42,170,632,42,651,529,11261,11237,4526,2617,4094,1747,1008,971,1059,4147,2263,1083,1396,395,1398,9592,1570,2797,3220,74,5,0.937,0.236,0.310,0.396,0.705,0,73,28,42,2147,486,9,0,9,1116,2512,1052,753,1.40,24130,6174,5482,4.09,1438.1,1357,251,29,703,654,183,450,11429,11323,4635,2632,4056,1787,1018,990,411,102,8576,2970,2948,3157,42,4342,2749,40,1432,0.248,1.26,5,71,0,1071,757,26,1,136,9,769,9,6167,23943,1.41,0.311,0.404,0.715,8.96,2.82,8.49,3.18,16.65,1438.1,5332,11,1140,4120,1140,72,4,0,136,9,0.938,9,26,0.986,0.703,4315,77,85,0.475,0.0,676,703,-27
,114,NYY,New York,Yankees,162,5476,846,1363,291,24,265,782,64,816,603,11288,11312,4411,2737,4164,1761,1095,941,1071,4734,2134,1082,1407,392,1527,8877,1934,3034,3396,68,4,0.944,0.249,0.327,0.456,0.783,0,62,10,57,2497,580,15,0,8,1110,2582,1036,780,1.33,25067,6251,5497,3.81,1434.2,1310,304,20,666,607,176,483,11539,11862,4582,3025,4255,1730,928,953,1061,1652,10212,961,2059,1588,16,5863,1794,29,1614,0.238,1.25,3,57,0,1033,675,73,4,98,6,536,6,6120,24545,1.53,0.305,0.397,0.702,10.12,3.03,8.22,3.34,17.11,1434.2,5332,12,1097,4156,1103,73,3,0,98,6,0.942,25,73,0.986,0.698,4304,100,62,0.617,0.0,846,666,180
,125,OAK,Oakland,Athletics,162,5564,813,1405,332,27,227,758,54,779,531,11454,11383,4658,2551,4174,1719,1105,1072,1014,4320,2355,1055,1373,413,1597,8764,1919,2782,3665,37,5,0.881,0.253,0.324,0.444,0.768,0,76,6,44,2472,586,11,0,9,1137,2510,988,802,1.23,24982,6257,5505,3.85,1445.1,1300,287,21,674,619,183,454,11037,10494,4305,2405,3784,1911,1008,1056,96,2063,8322,2957,2944,2388,21,4330,1370,30,1225,0.236,1.21,2,53,0,1228,739,86,2,101,4,663,4,6106,23341,1.66,0.299,0.396,0.695,7.63,2.83,8.10,2.70,16.15,1445.1,5527,8,1306,4154,1306,67,2,0,101,4,0.962,17,86,0.988,0.731,4336,97,65,0.599,0.0,813,674,139
,129,PHI,Philadelphia,Phillies,162,5373,675,1264,245,35,185,633,40,651,547,11291,11627,4496,2845,4286,1718,945,914,1047,4119,2159,1103,1507,407,1198,9631,2054,3100,2965,76,6,0.927,0.235,0.312,0.397,0.709,0,64,32,30,2134,465,10,0,5,1108,2615,1039,689,1.51,24580,6122,5432,4.18,1420.1,1353,307,35,726,660,169,465,11218,11245,4391,2741,4113,1890,885,974,522,507,8693,1711,2264,3169,39,5159,3020,45,1448,0.249,1.28,9,60,0,1126,645,80,7,114,9,803,9,6127,23742,1.75,0.313,0.412,0.725,9.18,2.95,8.57,3.11,16.72,1420.1,5350,9,1196,4056,1199,95,4,0,114,9,0.927,17,80,0.982,0.696,4261,80,82,0.494,0.0,675,726,-51
,132,PIT,Pittsburgh,Pirates,161,5421,691,1369,303,45,156,635,56,663,435,11320,10859,4547,2474,3838,1914,980,1065,1115,4514,2067,1031,1225,414,1153,8952,1826,2426,3127,77,5,0.939,0.253,0.312,0.411,0.724,0,59,30,52,2230,504,19,0,15,1261,2486,1144,732,1.56,23598,6070,5462,4.06,1418.2,1382,304,28,693,640,174,455,11207,10827,4461,2504,3862,1889,987,1056,33,754,10639,2222,2139,2985,36,4187,2010,35,1322,0.253,1.29,8,69,0,1114,746,96,5,80,2,429,2,6157,23683,1.49,0.317,0.415,0.731,8.39,2.89,8.77,2.91,16.69,1418.2,5324,10,1190,4048,1190,86,8,0,80,2,0.976,8,96,0.984,0.701,4256,82,79,0.509,0.0,691,693,-2
,139,SD,San Diego,Padres,162,5456,617,1285,263,31,162,563,54,584,445,11245,11342,4429,2785,4128,1907,821,956,1082,3846,2214,1010,1511,214,1551,9198,1739,2500,2791,100,6,0.943,0.236,0.295,0.384,0.679,1,31,34,36,2096,456,15,0,11,1270,2781,1134,616,1.84,23807,6075,5555,4.47,1436.2,1425,294,44,767,713,185,490,11051,10961,4304,2483,4174,1919,951,1078,418,1058,9476,2108,1518,2991,35,4818,2360,39,1388,0.257,1.33,8,68,0,1120,697,52,4,96,11,727,11,6265,23940,1.61,0.322,0.425,0.748,8.70,3.07,8.93,2.83,16.66,1436.2,5436,6,1246,4106,1248,82,4,0,96,11,0.897,12,52,0.985,0.694,4310,66,96,0.407,0.0,617,767,-150
,136,SF,San Francisco,Giants,162,5486,603,1325,266,32,133,572,31,572,407,11427,11209,4543,2740,3926,1870,908,1054,1076,4237,2243,1067,1455,349,1329,9553,1860,2597,2847,82,7,0.921,0.242,0.298,0.374,0.672,0,49,33,42,2054,431,10,0,3,1260,2715,1165,684,1.70,23851,6124,5491,3.99,1445.1,1384,310,45,699,640,156,487,11005,10793,4320,2338,4135,1954,934,1096,94,1685,6953,2868,3033,3545,48,4136,2618,48,1259,0.252,1.29,5,45,0,1158,697,44,4,95,6,565,5,6196,23839,1.66,0.316,0.410,0.726,7.84,3.03,8.62,2.59,16.49,1445.1,5480,10,1304,4096,1304,80,2,0,95,6,0.941,9,44,0.985,0.706,4336,73,89,0.451,0.0,603,699,-96
,123,SEA,Seattle,Mariners,162,5507,677,1400,282,38,176,630,46,643,413,10826,10411,4168,2295,3948,2010,994,1054,1017,4265,1955,1082,1215,357,1132,8606,1867,2377,3536,85,2,0.977,0.254,0.312,0.415,0.727,0,70,29,41,2286,496,10,0,7,1316,2531,1223,749,1.63,23163,6110,5536,4.14,1437.1,1388,302,25,711,661,195,379,11325,10886,4630,2424,3832,1848,1055,1053,12,3125,6352,4265,3461,1614,12,2920,2032,42,1320,0.251,1.23,3,72,0,1079,781,57,3,67,10,425,10,6084,23153,1.38,0.305,0.420,0.725,8.27,2.37,8.69,3.48,16.11,1437.1,5383,7,1213,4093,1213,77,5,0,67,10,0.870,13,57,0.986,0.707,4312,89,73,0.549,0.0,677,711,-34
,133,STL,St. Louis,Cardinals,162,5473,758,1365,272,14,205,691,66,725,485,11067,11166,4287,2565,4314,1843,1022,1035,1189,4609,2055,1068,1371,381,1297,9609,1913,2347,3055,70,7,0.909,0.249,0.317,0.417,0.734,0,80,45,48,2280,491,13,0,12,1233,2604,1114,750,1.49,24330,6208,5482,3.88,1445.2,1350,268,31,691,623,144,544,11444,11239,4578,2593,4068,1928,912,1085,143,1582,8823,1568,2411,3621,55,4796,2180,48,1330,0.246,1.31,2,67,0,1132,705,63,4,55,5,742,5,6281,24419,1.61,0.319,0.385,0.705,8.28,3.39,8.40,2.44,16.89,1445.2,5486,9,1259,4109,1259,118,4,0,55,5,0.917,6,63,0.978,0.707,4337,88,74,0.543,0.0,758,691,67
,115,TB,Tampa Bay,Rays,162,5446,712,1406,298,49,149,653,56,662,521,11160,10776,4345,2668,3763,1923,874,1033,1004,4388,2182,1131,1379,409,1129,8810,1830,2802,2809,140,12,0.921,0.258,0.331,0.413,0.744,0,100,24,49,2249,496,21,0,8,1190,2569,1099,650,1.69,23632,6190,5348,3.77,1431.2,1226,273,27,643,600,163,468,11044,10800,4288,2757,3755,1782,964,943,609,1784,8869,2001,2729,1633,16,4822,2179,39,1406,0.229,1.18,3,53,0,1087,741,55,6,82,6,354,6,5975,23277,1.47,0.296,0.382,0.678,8.84,2.94,7.71,3.00,16.26,1431.2,5335,9,1179,4090,1181,64,1,0,82,6,0.932,16,55,0.988,0.723,4295,90,72,0.556,0.0,712,643,69
,121,TEX,Texas,Rangers,162,5433,736,1307,285,30,194,678,57,697,538,11200,11444,4463,2708,4273,1804,947,963,1067,4728,2178,1095,1470,344,1476,9041,2080,2683,2991,77,11,0.875,0.241,0.317,0.411,0.728,0,87,32,33,2234,509,14,0,8,1140,2610,1067,704,1.52,24568,6157,5571,4.96,1414.0,1504,340,54,846,779,221,466,10954,10401,4263,2158,3980,1991,1060,1140,17,1395,7665,1573,3545,5397,20,3224,1970,50,1111,0.270,1.39,9,72,0,1160,765,58,7,82,8,727,8,6226,23762,1.52,0.332,0.469,0.801,7.07,2.97,9.57,2.38,16.80,1414.0,5379,14,1269,4008,1269,102,7,0,82,8,0.911,12,58,0.981,0.702,4242,67,95,0.414,0.0,736,846,-110
,112,TOR,Toronto,Blue Jays,162,5497,713,1348,334,21,217,667,44,684,486,11148,10899,4213,2777,3909,1743,1039,1027,1130,4577,2179,1019,1390,427,1124,8902,1311,2796,2816,53,6,0.898,0.245,0.311,0.432,0.743,0,58,5,37,2375,572,17,0,14,1184,2579,1079,746,1.45,23675,6121,5609,4.90,1427.2,1485,351,39,840,778,211,532,11356,11100,4437,2546,4117,1901,1089,1021,310,1281,8161,2742,4004,4556,18,3343,1583,46,1302,0.265,1.41,6,68,0,1073,787,69,4,139,6,354,5,6318,24719,1.36,0.333,0.454,0.787,8.21,3.35,9.36,2.45,17.31,1427.2,5311,6,1147,4076,1151,84,4,0,139,7,0.952,8,69,0.984,0.694,4283,73,89,0.451,0.0,713,840,-127
